"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-01",,"68","78",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-02",,"68",,"60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-03","0.02","67","76","60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-04",,"65","78",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-05","0.00","66","77","55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-06",,"67",,"56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-07","0.00","68","79","57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-08","0.00","66","76","56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-09",,"66","76",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-10","0.00","68","79","57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-11",,"68",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-12",,"68",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-13","0.00","67","79","57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-14",,"66","78","56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-15",,"66",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-16",,"67","80",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-17",,"66","81",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-18",,"69","81","56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-19",,"68","80","56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-20",,"69","81","54"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-21",,"69","82","60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-22","0.51","69","80","60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-23","0.00","67","80",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-24",,"65","76",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-25",,"65","78",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-26",,"65","81","52"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-27",,"67","82","49"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-28",,"66","83","45"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-29",,"67","82","48"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-30",,"68","82",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-01-31",,"66","79","50"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-01",,"65","80","51"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-02",,"67","82","51"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-03",,"71","84",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-04",,"71","83",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-05",,"70","83",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-06",,"67","84","49"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-07",,"67","83",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-08",,"70",,"51"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-09",,"70","85","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-10",,"69",,"56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-11",,"67","80",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-12",,"65","80","48"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-13",,"67","83","50"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-14",,"69","85","52"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-15",,"68","87","49"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-16",,"67",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-17",,"70","84","50"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-18",,"69","85",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-19",,"68",,"52"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-20",,"68","83","52"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-21",,"67","85","45"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-22",,"70","87","47"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-23",,"69","86",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-24",,"69","84","48"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-25",,"69","84","53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-26",,"70","86","53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-27",,"72","89","55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-28",,"72","87","56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-02-29",,"72","87","57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-01",,"67","86","55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-02","0.03","71",,"59"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-03","0.00","71","86",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-04",,"73","84","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-05",,"72",,"60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-06",,"68","86",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-07",,"72","86",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-08",,"73","84","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-09",,"74","86","59"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-10",,"75","88","51"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-11",,"72","87","59"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-12",,"71","85",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-13",,"74","87",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-14",,"71","85","60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-15","1.61","72","84","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-16","0.00","73","85","62"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-17","0.16","72","85","61"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-18","0.00","71","85","60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-19",,"70","85",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-20",,"69","86","60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-21",,"67","85","61"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-22",,"71","84","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-23",,"70","82",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-24",,"71",,"58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-25",,"72",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-26",,"70",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-27",,"67","81",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-28",,"68",,"59"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-29","0.02","70","83","60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-30","0.00","71","85","60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-03-31","0.04","67","82","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-01","0.00","69","82","59"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-02",,"69","81","61"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-03",,"70","84",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-04",,"72",,"60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-05",,"68","82",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-06","1.54","68","81","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-07","0.20","70","84","57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-08","0.08","68","81","60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-09","0.12","66","81",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-10","0.04","68","78","60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-11","0.00","68","79",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-12",,"68",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-13",,"67",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-14",,"67","80","59"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-15",,"68","80","61"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-16",,"68","81","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-17",,"69","82","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-18",,"68","81","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-19",,"68","82",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-20",,"67","83","59"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-21",,"71",,"56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-22",,"70","85",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-23",,"70","84","60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-24","0.08","67","78","63"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-25","0.35","67","78",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-26","0.16","67",,"60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-27","0.00","68","81","59"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-28",,"69",,"60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-29",,"69","81","60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-04-30",,"67","81","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-01",,"67","80",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-02",,"68","81","56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-03",,"68",,"60"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-04",,"67","83",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-05",,"68","80","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-06",,"68","81","59"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-07","0.12","66","75",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-08","0.00","66","81","54"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-09","0.03","67","81",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-10","0.04","65","75",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-11","0.00","66","76","59"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-12","0.03","66","77",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-13","0.00","67","81","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-14",,"68",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-15",,"68","83","53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-16",,"69","81",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-17","0.03","67","79","59"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-18","0.00","67","81",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-19",,"66","78",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-20",,"68","81","54"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-21",,"67","80","55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-22",,"68","80","55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-23",,"67","82","55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-24",,"67","82",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-25",,"66","79",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-26",,"64","82","52"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-27",,"64","79",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-28",,"65","75","56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-29",,"68","80",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-30",,"66","80",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-05-31",,"65",,"52"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-01",,"63","77",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-02",,"64","78",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-03",,"65",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-04",,"67",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-05",,"65",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-06","0.08","63",,"57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-07","0.00","66","77","54"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-08",,"65","76","57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-09",,"66","79","57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-10",,"65","79","51"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-11",,"64","79","54"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-12",,"62","67","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-13","0.03","61","69",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-14","0.08","64","74",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-15","0.00","65","75",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-16",,"65",,"58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-17",,"64","77",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-18",,"66","81","52"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-19","0.03","62","72","57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-20","0.59","65","78","57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-21","0.00","66","78","52"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-22",,"65","76",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-23","0.03","63","69","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-24","0.00","65","74","56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-25",,"65","76","56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-26",,"64","76","53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-27",,"62","68","53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-28",,"63","72",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-29",,"63","73",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-06-30",,"63","72","50"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-01",,"62",,"53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-02",,"61",,"51"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-03",,"61","65","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-04",,"63","71",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-05",,"64","73",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-06",,"62",,"52"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-07",,"64","80","47"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-08",,"61","77","48"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-09",,"63","75","49"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-10",,"64","71","56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-11",,"62","68",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-12",,"62","71",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-13",,"57","78","51"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-14",,"63","76","53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-15",,"60","78","50"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-16",,"64","80","52"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-17",,"65",,"50"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-19",,"63","79",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-21",,"65","80","52"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-22",,"65","78","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-23",,"64","73","55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-24",,"61","67","57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-25","0.03","62","67","56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-26","0.00","62","70","55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-27",,"63",,"55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-28",,"65",,"53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-29",,"63","76","48"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-30",,"65",,"54"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-07-31","0.04","63","75",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-01","0.00","65","79","53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-02",,"65","78",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-03",,"65","79",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-04",,"65","80","49"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-05",,"64","74","53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-06","0.04","63","76","53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-07","0.00","66",,"54"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-08",,"65",,"49"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-09",,"61","74","55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-10",,"67","78","53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-11",,"67","84","50"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-12",,"67","81","49"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-13",,"66","73","52"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-14",,"66","74","55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-15",,"60",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-16",,"62","71",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-17",,"63","71","55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-18",,"64","72","53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-19",,"66","77","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-20",,"66","75","57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-21",,"65",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-22",,"63",,"44"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-23",,"66",,"49"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-24",,"66",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-25",,"65",,"56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-26",,"63",,"55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-27",,"61",,"58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-28",,"64",,"58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-29",,"64",,"56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-30",,"65",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-08-31",,"66",,"58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-01",,"66",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-02",,"61","69",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-03",,"65","79","53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-04",,"65","78",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-05",,"68","83",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-06",,"65","83",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-07",,"66",,"53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-08",,"65","83","52"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-09",,"66",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-10",,"63","78",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-11",,"66",,"48"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-12",,"66","79","51"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-13",,"64","76","51"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-14","0.20","62","72","56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-15","0.00","66","80","55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-16",,"66",,"48"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-17",,"66","81","48"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-18",,"67",,"57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-19",,"67","82","57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-20",,"64",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-21","0.03","65",,"57"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-22","0.00","65","75","55"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-23",,"65","78","53"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-24",,"66",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-25",,"67","79",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-26",,"67",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-27",,"65","79","58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-28",,"64","75","56"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-29",,"63","73",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-09-30",,"67","82",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-01",,"68","84",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-02",,"67","81",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-03",,"67","80",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-04",,"68","82","52"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-05",,"69",,"54"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-06",,"67",,"58"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-07",,"69","81",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-08",,"69","80","59"
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-09",,"68",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-10",,"67","81",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-11",,"70",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-12",,"69","82",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-13",,"68",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-14",,"68",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-15",,"69",,
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-16",,"66","80",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-17",,"71","84",
"KE000063740","JOMO KENYATTA INTERNATIONAL, KE","2000-10-18",,"70","83",
